n_start,q0,dt,q_eff,theta_subdeg,q_from_theta,theta_from_qeff,delta_theta,delta_q,track_r2,peakiness,sanity
200000000,9,7,0.8334010564811053,86.22297297296443,15.147564265231905,39.80786099992207,-46.41511197304236,-14.3141632087508,0.003507229482412555,2.874999990296875,permute_cols
200000000,10,8,3.7435897435897436,86.04999999439751,14.482273162502421,75.04416006992598,-11.00583992447153,-10.738683418912679,0.0035118371521440928,4.799999993551742,permute_cols
200000000,11,9,nan,88.16654676259836,31.239532211582837,nan,nan,nan,1.3578538985314914e-05,3.1999999788800007,permute_cols
200000000,12,10,1.3647058823529412,78.63726114675265,4.976147137850965,53.767581244552986,-24.869679902199664,-3.611441255498024,0.0011400017423048858,4.99999997,permute_cols
200000000,13,10,nan,89.52021276596115,119.41635003436333,nan,nan,nan,0.00038895362581958803,3.0000000637717936,permute_cols
200000000,14,11,3.9837092731829573,79.66791907441409,5.485184639059413,75.90863999337914,-3.759279081034947,-1.5014753658764555,0.00033427561911769654,4.599999961360001,permute_cols
200000000,15,12,21.873417721518987,84.46562500091203,10.320492287169946,87.382397561722,2.9167725608099744,11.55292543434904,0.000609433393901404,3.6666666391666674,permute_cols
200000000,16,13,nan,82.34714285538954,7.442272609380413,nan,nan,nan,0.004896703375720568,3.5999999010669894,permute_cols
200000000,17,14,nan,83.45869565407462,8.720986758788985,nan,nan,nan,0.0003354067312412168,3.599999837886739,permute_cols
200000000,18,14,nan,78.88076923076883,5.088002539774472,nan,nan,nan,7.521792005915628e-07,3.9999999460000013,permute_cols
200000000,19,15,nan,81.55555555013638,6.735827439941586,nan,nan,nan,0.0003010092240787188,4.599999947560001,permute_cols
200000000,20,16,7.701694915254237,89.27727273096019,79.27297490356159,82.60201573111816,-6.675256999842034,-71.57127998830735,0.016782943081922852,4.749999900810329,permute_cols
200000000,21,17,nan,78.3416666666651,4.8465638424879876,nan,nan,nan,0.007321229921011807,3.999999879192025,permute_cols
200000000,22,18,163.74193548387095,86.09311926605481,14.642615212619143,89.65008922711696,3.5569699610621512,149.0993202712518,0.006953642678448557,4.2499999298750035,permute_cols
200000000,23,18,2.801324503311258,81.75636363636184,6.902278236812389,70.35475700815677,-11.401606628205073,-4.100953733501131,0.005384935634075716,2.9999999586000015,permute_cols
200000000,24,19,nan,78.99150943330196,5.140486910874259,nan,nan,nan,0.0008352827458891765,4.333333132475796,permute_cols
200000000,25,20,7.225806451612903,81.78788819875585,6.929143147327725,82.12072184503496,0.3328336462791128,0.29666330428517806,0.0022101002890183574,4.499999915624998,permute_cols
200000000,26,21,nan,90.0,1.633123935319537e+16,nan,nan,nan,0.003309764806638027,5.666666519333339,permute_cols
200000000,27,22,3.920512820512821,79.96666666666391,5.652051560268668,75.69075380793267,-4.275912858731246,-1.7315387397558473,0.006290365213432958,3.749999924062502,permute_cols
200000000,28,22,nan,87.59999999999565,23.859277196199567,nan,nan,nan,5.407051421602027e-06,2.4999999475000023,permute_cols
200000000,29,23,11.754612546125461,78.30000000000192,4.828817352193575,85.13738525818258,6.83738525818066,6.9257951939318865,0.0029961878745917714,4.33333320766667,permute_cols
200000000,30,24,nan,85.44999999999668,12.565997051238716,nan,nan,nan,0.0032518650869751697,3.9999999728642743,permute_cols
200000000,31,25,nan,85.67857142856754,13.233376898548865,nan,nan,nan,0.003855145918486458,3.4999999186250017,permute_cols
200000000,32,26,nan,89.2728571428561,78.79153711205561,nan,nan,nan,0.005654095433412332,2.999999942400003,permute_cols
200000000,33,26,1.5761061946902655,86.47500000000089,16.233609052269646,57.60589372649162,-28.869106273509267,-14.65750285757938,7.588420973925203e-06,4.333333190333338,permute_cols
200000000,34,27,670.090909090909,79.304716981131,5.294739714149126,89.91449557634337,10.609778595212376,664.7961693767598,0.00011873644952897777,2.9999999235000048,permute_cols
200000000,35,28,6.181818181818182,82.56012658227658,7.657844498324443,80.81116392264124,-1.748962659635339,-1.4760263165062613,0.002406933748328677,4.666666503333345,permute_cols
200000000,36,29,5.0670535138620245,78.7706185567036,5.03681168670465,78.83595079956294,0.06533224285934125,0.03024182715737478,0.0005140745350263876,4.999999820000008,permute_cols
200000000,37,30,nan,80.1,5.7297416467243085,nan,nan,nan,0.011588689982937495,3.7499998959375054,permute_cols
200000000,38,30,15.851272015655578,84.97631578948291,11.375889994958388,86.39019821065831,1.4138824211754013,4.4753820206971895,0.007986822493796564,3.000000169122067,permute_cols
200000000,39,31,2.297245179063361,90.0,1.633123935319537e+16,66.47631528441026,-23.523684715589738,-1.6331239353195368e+16,0.007331476658973712,3.6666665236666796,permute_cols
200000000,40,32,3.9141944317663167,80.22571428571366,5.804914042753457,75.6686062027527,-4.557108082960966,-1.8907196109871403,0.0029643457233169412,3.99999988000001,permute_cols
