n_start,q0,dt,mean_dx,median_dx,q_eff,slope_kpeak,track_r2,valid_frac,theta_star,theta_subdeg,angle_score_peak,angle_score_median,peakiness,sanity
1000000,20,16,-8.461267605633802,-22.0,nan,0.0141342756184785,1.8074275449420085e-05,1.0,85.9,86.19166667159602,1.2000000607222319,0.8833333794027567,3.7999999320482627,permute_cols
1000000,21,17,-2.6219081272084805,11.0,nan,0.04765658835356849,0.0002167617263971744,1.0,83.1,83.0957142870116,1.0476191081106663,0.7777778226882219,3.399999957160003,permute_cols
1000000,22,18,-3.9858156028368796,-4.0,nan,0.1839794241247591,0.0033332657448137404,1.0,85.9,85.9605263157873,0.9393939673900604,0.6969697177410126,2.6666666373333348,permute_cols
1000000,23,18,7.156028368794326,18.0,2.5153617443012886,0.08797053495276598,0.000757587915362623,1.0,80.8,80.77857142856872,0.8695652335882187,0.637681171298027,3.9999999310000027,permute_cols
1000000,24,19,5.266903914590747,25.0,3.6074324324324323,0.20580103624693388,0.0038665336043999243,1.0,88.6,88.52131147544195,0.8055555615574121,0.6111111156642437,3.4999999370000014,permute_cols
1000000,25,20,3.5428571428571427,0.5,5.645161290322581,-0.031034925737085165,8.855535426743888e-05,1.0,78.1,78.0600000000005,0.7733332980424166,0.5599999744445086,3.9999999249999982,permute_cols
1000000,26,21,5.397849462365591,9.0,3.8904382470119523,-0.16364530495411606,0.0023389132226206977,1.0,79.8,79.81601941747769,0.6923077013343573,0.47435898054391146,4.2499999171250025,permute_cols
1000000,27,22,3.856115107913669,8.5,5.705223880597015,0.11667628747823233,0.0013079417980850216,1.0,83.7,83.71034482758405,0.6913580298423767,0.4938271641731262,3.999999919000002,permute_cols
1000000,28,22,1.5071942446043165,0.5,14.596658711217184,0.02714939961376692,7.529528881233816e-05,1.0,78.8,78.68260869565748,0.5952381063252687,0.4642857229337096,2.7499999422500023,permute_cols
1000000,29,23,-10.92057761732852,15.0,nan,0.13817218082384866,0.0014970250905579352,1.0,79.6,79.578048780491,0.6321839056909084,0.4482758603990078,5.3333331786666704,permute_cols
1000000,30,24,2.0579710144927534,-1.0,11.661971830985916,-0.021315049728151226,3.3501244014466636e-05,1.0,89.3,89.30895522388016,0.611111125908792,0.3888888983055949,4.999999887500005,permute_cols
1000000,31,25,9.690909090909091,18.0,2.5797373358348965,0.3855601396381716,0.011522828711120425,1.0,88.8,88.77500000000654,0.48387096729129553,0.35483870934695005,3.999999876000004,permute_cols
1000000,32,26,7.306569343065694,-32.5,3.5584415584415585,0.2599561022917974,0.004922080744016677,1.0,80.6,80.55434782608954,0.5104166818782687,0.3437500102445483,5.333333162666677,permute_cols
1000000,33,26,3.624087591240876,8.5,7.174219536757301,0.09866338041513835,0.0007733833467621354,1.0,78.9,78.91153846153439,0.5252525247633457,0.3232323229312897,4.999999991501169,permute_cols
1000000,34,27,-8.542124542124542,-32.0,nan,0.10791548511604594,0.0008875933666973035,1.0,84.7,84.75208333333673,0.4313725642859936,0.3137255012989044,2.9999999235000048,permute_cols
1000000,35,28,4.772058823529412,-11.0,5.86748844375963,0.008981793114700721,5.7942101154839776e-06,1.0,81.5,81.50722891578046,0.47619049344211817,0.29523810651153326,6.333333079070395,permute_cols
1000000,36,29,-8.797047970479705,20.0,nan,0.07403226973451277,0.0004005634761076182,1.0,85.1,85.2499999999944,0.37037037312984467,0.25925926119089127,2.9999999190000026,permute_cols
1000000,37,30,11.15925925925926,21.5,2.6883504812479253,-0.27189612416567116,0.005178056886725235,1.0,82.3,82.32848101265742,0.36036036908626556,0.26126126758754253,3.666666531000008,permute_cols
1000000,38,30,5.0851851851851855,0.0,5.8994901675163876,0.2892934059451901,0.005675144131063292,1.0,81.3,81.3900000000008,0.3596491254866123,0.21929824724793434,3.9999998860000043,permute_cols
1000000,39,31,-10.914498141263941,-13.0,nan,-0.22424432977619635,0.003944025838390153,1.0,82.3,82.3499999999982,0.29914531391113997,0.21367522422224283,3.333333203333345,permute_cols
1000000,40,32,15.347014925373134,7.0,2.085096036955993,0.2834427544828656,0.005300202885834326,1.0,88.9,88.92209302325779,0.3166666831821203,0.20000001043081284,4.666666480000018,permute_cols
